src,tgt,p_src,p_tgt
1077,122,149669,6214
1160,122,188471,6214
368,122,23258,6214
409,122,27631,6214
420,122,28278,6214
430,122,28447,6214
1400,122,345340,6214
525,122,38480,6214
1450,122,399339,6214
113,122,6155,6214
117,122,6184,6214
118,122,6196,6214
123,122,6215,6214
127,122,6224,6214
1669,122,628500,6214
135,122,6378,6214
851,122,93320,6214
868,122,95589,6214
881,122,97892,6214
2244,123,1120170,6215
127,123,6224,6215
2128,124,1113739,6216
2177,124,1116347,6216
2289,124,1123553,6216
1251,124,230300,6216
876,124,96847,6216
1901,124,976334,6216
1020,126,134128,6220
114,126,6163,6220
127,126,6224,6220
427,127,28387,6224
1400,127,345340,6224
114,127,6163,6224
206,128,10793,6238
2295,128,1123991,6238
2410,128,1130356,6238
818,128,84459,6238
2158,129,1114864,6311
2166,129,1115677,6311
1264,129,235776,6311
740,129,69397,6311
2053,130,1108656,6318
2227,130,1119295,6318
2261,130,1121057,6318
343,130,20833,6318
2019,131,1107067,6334
2174,131,1116268,6334
2601,131,1152307,6334
2608,131,1152448,6334
2631,131,1152975,6334
2648,131,1153169,6334
2658,131,1153703,6334
1203,131,200480,6334
344,131,20850,6334
72,131,3231,6334
1480,131,444240,6334
584,131,46431,6334
733,131,68463,6334
2313,132,1125992,6343
1056,132,141868,6343
1203,132,200480,6343
1414,132,359067,6343
1516,132,521252,6343
2113,133,1112665,6344
1203,133,200480,6344
1992,134,1106103,6346
2103,134,1112075,6346
2275,135,1122425,6378
2385,135,1129208,6378
433,135,28473,6378
1932,136,1103162,6385
2386,136,1129243,6385
301,136,17476,6385
433,136,28473,6385
650,136,55968,6385
135,136,6378,6385
1789,136,682666,6385
1879,136,892139,6385
1923,137,1102646,6539
945,138,116084,6639
1142,138,178209,6639
1552,138,568045,6639
1599,138,591017,6639
2418,139,1130637,6741
2646,139,1153160,6741
1404,139,348437,6741
1459,139,411092,6741
1464,139,417017,6741
616,139,49895,6741
632,139,51909,6741
812,139,83725,6741
196,139,9708,6741
1992,140,1106103,6767
2158,140,1114864,6767
2249,140,1120444,6767
1264,140,235776,6767
131,140,6334,6767
153,140,6925,6767
740,140,69397,6767
711,141,65653,6771
2093,142,1111240,6775
1405,142,350319,6775
2281,143,1123068,6782
1492,143,463825,6782
890,144,100961,6784
2183,144,1116629,6784
1405,144,350319,6784
504,144,35797,6784
1529,144,560936,6784
1544,144,562123,6784
678,144,60170,6784
142,144,6775,6784
2012,145,1106789,6786
1830,145,714975,6786
2194,146,1117348,6814
2305,146,1125469,6814
1101,146,158172,6814
1356,146,293974,6814
1363,146,300071,6814
1379,146,315266,6814
520,146,37884,6814
1439,146,390896,6814
1481,146,445938,6814
1979,147,1105531,6818
2264,147,1121254,6818
2350,147,1128425,6818
1356,147,293974,6818
520,147,37884,6818
1439,147,390896,6818
617,147,50336,6818
618,147,50337,6818
2284,148,1123188,6898
978,148,124224,6898
241,148,12631,6898
1476,148,431206,6898
149,148,6910,6898
795,148,78994,6898
2192,149,1117219,6910
2284,149,1123188,6910
2496,149,1132083,6910
2592,149,1152150,6910
2690,149,1154103,6910
1124,149,169279,6910
1318,149,263553,6910
1476,149,431206,6910
1777,149,662416,6910
1964,150,1105011,6913
2176,150,1116336,6913
2449,150,1131230,6913
2541,150,1135108,6913
2627,150,1152917,6913
33,150,1717,6913
1470,150,428610,6913
1476,150,431206,6913
84,150,4330,6913
1817,150,703953,6913
2664,151,1153811,6917
1486,151,449841,6917
2707,152,1155073,6923
1158,152,187354,6923
345,152,20857,6923
1369,152,308003,6923
156,152,6941,6923
854,152,93923,6923
2152,153,1114526,6925
2216,153,1118658,6925
1423,153,372862,6925
660,153,57922,6925
662,153,57948,6925
1906,154,1000012,6935
895,154,101660,6935
2000,154,1106388,6935
2165,154,1115670,6935
2252,154,1120650,6935
312,154,18615,6935
1269,154,238099,6935
1369,154,308003,6935
2187,155,1116922,6939
1423,156,372862,6941
2062,158,1109439,7032
2077,158,1110438,7032
1043,158,137873,7032
1385,158,323128,7032
640,158,52847,7032
2259,159,1120880,7041
2540,160,1135082,7047
276,160,14549,7047
1225,160,212930,7047
51,160,2663,7047
646,160,54844,7047
2564,161,1136446,7272
162,161,7276,7272
164,161,7297,7272
1856,161,763181,7272
1856,162,763181,7276
1856,163,763181,7296
162,164,7276,7297
1855,164,763010,7297
1856,164,763181,7297
1986,165,1105764,7419
2025,165,1107312,7419
2065,165,1109581,7419
2121,165,1113182,7419
2199,165,1117760,7419
2209,165,1118245,7419
1398,165,341188,7419
2656,166,1153287,7430
866,166,95586,7430
2270,168,1121603,7532
2641,168,1153097,7532
1051,168,141171,7532
1378,168,314459,7532
169,168,7537,7532
799,168,80515,7532
2124,169,1113534,7537
2467,169,1131348,7537
2641,169,1153097,7537
1051,169,141171,7537
1378,169,314459,7537
1456,169,409255,7537
168,169,7532,7537
2573,170,1138027,7867
1380,170,315789,7867
913,171,105057,8079
1939,171,1103737,8079
2273,171,1121867,8079
1090,171,154982,8079
1180,171,192850,8079
398,171,27250,8079
533,171,39124,8079
2054,173,1108728,8224
2076,173,1110426,8224
2098,173,1111788,8224
2354,173,1128531,8224
2512,173,1132815,8224
217,173,11342,8224
2644,173,1153148,8224
2669,173,1153866,8224
1017,173,133615,8224
354,173,22431,8224
355,173,22563,8224
374,173,23738,8224
1314,173,263279,8224
453,173,30895,8224
1419,173,368431,8224
613,173,49843,8224
614,173,49844,8224
615,173,49847,8224
647,173,55403,8224
1647,173,601567,8224
689,173,62389,8224
129,173,6311,8224
711,173,65653,8224
138,173,6639,8224
878,173,97377,8224
2240,174,1120059,8581
2518,174,1132968,8581
52,174,2665,8581
775,174,75691,8581
778,174,75695,8581
2706,175,1154525,8591
1044,175,137956,8591
1118,175,167205,8591
1819,175,709113,8591
2511,176,1132809,8594
2706,176,1154525,8594
24,176,1213,8594
1148,176,180187,8594
1256,176,232605,8594
663,176,58268,8594
1819,176,709113,8594
175,176,8591,8594
2174,177,1116268,8617
237,177,12359,8617
1135,177,175291,8617
512,177,36145,8617
638,177,52784,8617
1135,178,175291,8619
512,178,36145,8619
1924,179,1102751,8687
523,179,38000,8687
912,180,104840,8696
1924,180,1102751,8696
912,181,104840,8699
1924,181,1102751,8699
892,182,101145,8703
912,182,104840,8703
1924,182,1102751,8703
1974,182,1105428,8703
2221,182,1119078,8703
1131,182,173884,8703
403,182,27535,8703
1370,182,308232,8703
1408,182,353541,8703
9,182,434,8703
1499,182,502574,8703
630,182,51866,8703
632,182,51909,8703
671,182,59244,8703
836,182,89335,8703
1457,183,409725,8766
1925,184,1102761,8821
2664,184,1153811,8821
1925,185,1102761,8832
906,186,103515,8865
2394,186,1129570,8865
1441,186,395075,8865
1653,186,608292,8865
1752,186,647408,8865
1860,186,785678,8865
189,186,8875,8865
1956,187,1104647,8872
2299,187,1125092,8872
2620,187,1152761,8872
2667,187,1153860,8872
1196,187,197054,8872
1250,187,229635,8872
1441,187,395075,8872
189,187,8875,8872
2251,188,1120643,8874
2665,188,1153816,8874
1441,188,395075,8874
1653,188,608292,8874
1746,188,646809,8874
1754,188,647447,8874
189,188,8875,8874
2394,189,1129570,8875
2616,189,1152676,8875
311,189,18582,8875
1441,189,395075,8875
1653,189,608292,8875
1937,190,1103610,8961
2526,190,1133390,8961
900,191,102879,9513
900,192,102879,9515
91,192,4804,9515
191,192,9513,9515
1926,193,1102794,9559
1295,193,252725,9559
2424,194,1130780,9581
1687,194,633585,9581
2242,195,1120138,9586
484,195,33818,9586
2412,196,1130539,9708
2633,196,1153003,9708
1034,196,136766,9708
1036,196,136768,9708
1152,196,181782,9708
2652,197,1153262,9716
444,197,28674,9716
137,197,6539,9716
2019,198,1107067,10169
2293,198,1123867,10169
939,198,114189,10169
1102,198,158614,10169
304,198,17798,10169
344,198,20850,10169
1220,198,211875,10169
1303,198,259126,10169
72,198,3231,10169
534,198,39126,10169
537,198,39131,10169
609,198,49660,10169
1527,198,552469,10169
131,198,6334,10169
695,198,63477,10169
696,198,63486,10169
1693,198,636098,10169
1822,198,711598,10169
824,198,85452,10169
202,199,10186,10174
198,200,10169,10177
2111,200,1112574,10177
225,200,12197,10177
226,200,12198,10177
228,200,12210,10177
980,200,124734,10177
279,200,15429,10177
6,200,164,10177
1291,200,249858,10177
405,200,27606,10177
91,200,4804,10177
728,200,67415,10177
734,200,68495,10177
735,200,68505,10177
192,200,9515,10177
202,201,10186,10183
203,201,10430,10183
2046,201,1108267,10183
2087,201,1110947,10183
2144,201,1114336,10183
2253,201,1120713,10183
1306,201,259772,10183
595,201,47570,10183
645,201,54550,10183
135,201,6378,10183
828,202,86840,10186
2253,203,1120713,10430
59,203,3095,10430
1935,204,1103394,10435
936,204,112378,10435
1215,204,208345,10435
357,204,22566,10435
555,204,41417,10435
182,204,8703,10435
1927,205,1102850,10531
2034,205,1107567,10531
2390,205,1129442,10531
2417,205,1130634,10531
1191,205,194617,10531
462,205,31336,10531
463,205,31349,10531
464,205,31353,10531
515,205,36620,10531
568,205,43698,10531
1802,205,686532,10531
2087,207,1110947,10796
2134,207,1113934,10796
2547,207,1135358,10796
2644,207,1153148,10796
1150,207,180373,10796
349,207,20942,10796
453,207,30895,10796
460,207,31097,10796
1464,207,417017,10796
592,207,46536,10796
1647,207,601567,10796
125,207,6217,10796
181,207,8699,10796
851,207,93320,10796
201,208,10183,10798
207,208,10796,10798
2703,208,1154500,10798
313,208,18619,10798
333,208,20193,10798
1224,208,212777,10798
1294,208,252715,10798
9,208,434,10798
1646,208,601561,10798
182,208,8703,10798
881,208,97892,10798
1928,209,1102873,10981
371,209,23507,10981
539,210,39199,11093
2404,211,1129835,11148
2486,211,1131719,11148
1184,211,193354,11148
383,211,25413,11148
216,213,11339,11326
2331,214,1127657,11335
212,214,11325,11335
2653,214,1153264,11335
343,214,20833,11335
1233,214,217139,11335
499,214,35070,11335
613,214,49843,11335
1526,214,545647,11335
1594,214,582511,11335
2343,215,1128256,11337
213,216,11326,11339
1219,216,211432,11339
454,216,30901,11339
569,216,44017,11339
575,216,45061,11339
1492,217,463825,11342
710,217,65650,11342
796,217,79809,11342
2322,218,1126350,12155
227,219,12199,12158
1075,219,148399,12158
2034,220,1107567,12165
2104,220,1112099,12165
2228,221,1119471,12169
88,221,4637,12169
1904,221,989397,12169
1910,222,1059953,12182
2003,222,1106418,12182
2193,222,1117249,12182
2217,222,1118764,12182
2649,222,1153183,12182
220,222,12165,12182
229,222,12211,12182
1093,222,155736,12182
1098,222,157761,12182
1240,222,219239,12182
440,222,28632,12182
441,222,28640,12182
442,222,28641,12182
1373,222,309476,12182
1384,222,321861,12182
1471,222,429781,12182
90,222,4660,12182
94,222,5038,12182
710,222,65650,12182
859,222,94713,12182
391,223,27199,12194
2026,224,1107319,12195
2034,224,1107567,12195
2104,224,1112099,12195
2482,224,1131611,12195
2498,224,1132285,12195
220,224,12165,12195
527,224,38722,12195
627,224,51180,12195
934,225,111866,12197
2228,225,1119471,12197
734,225,68495,12197
2322,226,1126350,12198
219,226,12158,12198
227,226,12199,12198
6,226,164,12198
406,226,27612,12198
863,226,95225,12198
2228,227,1119471,12199
231,227,12247,12199
2111,228,1112574,12210
222,228,12182,12210
91,228,4804,12210
662,228,57948,12210
109,228,6125,12210
728,228,67415,12210
785,228,77515,12210
220,229,12165,12211
894,230,101263,12238
2034,230,1107567,12238
2104,230,1112099,12238
220,230,12165,12238
2228,231,1119471,12247
1075,231,148399,12247
921,233,107569,12330
2255,233,1120777,12330
2609,233,1152490,12330
2668,233,1153861,12330
1096,233,156977,12330
1227,233,213279,12330
1444,233,395553,12330
1452,233,400356,12330
1891,233,949217,12330
2401,234,1129683,12337
288,234,16451,12337
290,234,16470,12337
292,234,16474,12337
1445,234,395725,12337
658,234,57764,12337
288,235,16451,12347
752,235,72101,12347
897,236,101811,12350
1944,236,1104007,12350
2026,236,1107319,12350
2482,236,1131611,12350
219,236,12158,12350
224,236,12195,12350
226,236,12198,12350
228,236,12210,12350
1082,236,152227,12350
1099,236,157805,12350
288,236,16451,12350
340,236,20601,12350
341,236,20602,12350
406,236,27612,12350
91,236,4804,12350
109,236,6125,12350
137,236,6539,12350
728,236,67415,12350
734,236,68495,12350
2483,237,1131634,12359
288,237,16451,12359
1278,237,242637,12359
913,238,105057,12439
1385,238,323128,12439
1396,238,340078,12439
1913,240,1071981,12576
1963,240,1104999,12576
1969,240,1105221,12576
2036,240,1107674,12576
2396,240,1129573,12576
992,240,127033,12576
1028,240,135130,12576
1250,240,229635,12576
422,240,28290,12576
1461,240,416455,12576
651,240,56112,12576
653,240,56119,12576
656,240,56709,12576
1561,240,574710,12576
1566,240,575795,12576
694,240,62718,12576
699,240,63832,12576
812,240,83725,12576
189,240,8875,12576
2284,241,1123188,12631
2592,241,1152150,12631
2690,241,1154103,12631
242,241,12638,12631
1777,241,662416,12631
148,241,6898,12631
149,241,6910,12631
795,241,78994,12631
2284,242,1123188,12638
968,242,119761,12638
1318,242,263553,12638
84,242,4330,12638
1777,242,662416,12638
148,242,6898,12638
149,242,6910,12638
1881,245,899119,13024
2205,246,1118083,13136
1107,246,160705,13136
298,247,17208,13193
1851,247,755217,13193
2025,248,1107312,13195
2254,248,1120731,13195
1851,248,755217,13195
1968,249,1105148,13205
250,249,13208,13205
1968,250,1105148,13208
1009,250,131318,13208
1968,251,1105148,13212
1009,251,131318,13212
250,251,13208,13212
1126,251,170338,13212
1228,251,214472,13212
1411,251,358884,13212
1458,251,411005,13212
2591,252,1152143,13213
1009,252,131318,13213
301,253,17476,13269
255,254,13654,13652
256,254,13656,13652
813,254,83746,13652
2170,255,1115959,13654
966,255,119686,13654
813,255,83746,13654
1902,255,987188,13654
2248,256,1120431,13656
2170,257,1115959,13658
2248,257,1120431,13658
966,257,119686,13658
256,257,13656,13658
1199,257,198443,13658
1360,257,294239,13658
1902,257,987188,13658
2028,258,1107355,13686
2248,258,1120431,13686
27,258,1272,13686
29,258,1385,13686
2081,259,1110531,13717
522,259,37998,13717
523,259,38000,13717
1952,260,1104379,13885
261,260,13917,13885
457,260,31043,13885
563,260,42847,13885
818,260,84459,13885
2238,261,1120020,13917
262,263,13960,13966
2320,264,1126050,13972
336,264,20534,13972
497,265,34979,13982
2233,266,1119708,14062
2603,266,1152358,14062
2606,266,1152421,14062
2655,266,1153280,14062
2702,266,1154459,14062
1054,266,141347,14062
488,266,33907,14062
571,266,44368,14062
1747,266,646836,14062
879,266,97390,14062
882,266,98693,14062
1929,267,1103016,14083
1929,268,1103016,14090
1710,268,643069,14090
1930,269,1103031,14428
1941,269,1103969,14428
270,269,14429,14428
272,269,14431,14428
489,269,34082,14428
756,269,73119,14428
1930,270,1103031,14429
1941,270,1103969,14429
2226,270,1119216,14429
272,270,14431,14429
489,270,34082,14429
756,270,73119,14429
1930,271,1103031,14430
1941,271,1103969,14430
2226,271,1119216,14430
270,271,14429,14430
272,271,14431,14430
489,271,34082,14430
756,271,73119,14430
1930,272,1103031,14431
1931,273,1103038,14529
2158,273,1114864,14529
2236,273,1119987,14529
1273,273,239829,14529
1931,274,1103038,14531
1990,274,1105932,14531
2602,274,1152308,14531
654,274,56167,14531
1601,274,592830,14531
680,274,60682,14531
1931,275,1103038,14545
276,275,14549,14545
1931,276,1103038,14549
1601,276,592830,14549
2093,277,1111240,14807
1319,277,264347,14807
384,278,25702,15076
1818,278,708945,15076
198,279,10169,15429
200,279,10177,15429
1944,279,1104007,15429
2035,279,1107572,15429
2152,279,1114526,15429
2646,279,1153160,15429
225,279,12197,15429
236,279,12350,15429
1137,279,175576,15429
1216,279,210309,15429
1232,279,217115,15429
1240,279,219239,15429
506,279,35854,15429
556,279,41666,15429
662,279,57948,15429
785,279,77515,15429
838,279,89547,15429
191,279,9513,15429
192,279,9515,15429
506,280,35854,15431
239,281,12558,15670
2071,282,1110024,15889
2214,282,1118388,15889
2611,282,1152564,15889
2673,282,1153891,15889
283,282,15892,15889
1138,282,175909,15889
1244,282,221302,15889
2172,283,1116146,15892
2214,283,1118388,15892
1100,284,158098,15984
1165,284,189577,15984
1372,284,308920,15984
1830,284,714975,15984
2325,285,1127530,15987
1100,285,158098,15987
65,285,3192,15987
1521,285,523394,15987
1767,285,653441,15987
1827,285,714289,15987
1979,286,1105531,16008
2439,286,1131165,16008
1100,286,158098,16008
1162,286,189571,16008
1163,286,189572,16008
1165,286,189577,16008
1372,286,308920,16008
64,286,3191,16008
65,286,3192,16008
1521,286,523394,16008
1704,286,642827,16008
1080,287,152219,16437
290,287,16470,16437
292,287,16474,16437
1445,287,395725,16437
1473,287,430329,16437
628,287,51831,16437
961,288,118436,16451
1981,289,1105603,16461
2399,290,1129621,16470
1959,291,1104787,16471
2159,291,1114992,16471
2319,291,1126044,16471
292,291,16474,16471
1330,291,273949,16471
291,292,16471,16474
2282,293,1123087,16476
2399,293,1129621,16476
237,293,12359,16476
292,293,16474,16476
914,294,105856,16485
1959,294,1104787,16485
1981,294,1105603,16485
2068,294,1109891,16485
2239,294,1120049,16485
2282,294,1123087,16485
235,294,12347,16485
1341,294,286500,16485
2440,295,1131167,16819
2450,295,1131236,16819
2456,295,1131274,16819
2461,295,1131312,16819
984,295,126793,16819
1709,295,643003,16819
1710,295,643069,16819
1712,295,643221,16819
1720,295,644093,16819
1721,295,644334,16819
1739,295,646195,16819
1740,295,646286,16819
2597,296,1152259,16843
2632,296,1152991,16843
1710,296,643069,16843
2022,297,1107140,17201
2209,297,1118245,17201
2316,297,1126012,17201
298,297,17208,17201
1155,297,184157,17201
477,297,32872,17201
864,297,95435,17201
2613,298,1152633,17208
2652,298,1153262,17208
1155,298,184157,17208
477,298,32872,17208
864,298,95435,17208
2161,299,1115291,17242
1334,299,280876,17242
1479,300,444191,17363
1932,301,1103162,17476
1965,301,1105033,17476
2275,301,1122425,17476
2385,301,1129208,17476
1126,301,170338,17476
431,301,28456,17476
478,301,33013,17476
1789,301,682666,17476
1879,301,892139,17476
1932,302,1103162,17477
1932,303,1103162,17488
2236,304,1119987,17798
2602,304,1152308,17798
72,304,3231,17798
1385,304,323128,17798
537,304,39131,17798
654,304,56167,17798
2021,305,1107136,17811
696,305,63486,17811
1283,306,245955,17821
1991,307,1106052,18251
1290,308,249421,18313
829,309,86923,18532
2014,310,1106854,18536
1468,310,424540,18536
829,310,86923,18536
1906,312,1000012,18615
90,312,4660,18615
1592,312,582343,18615
2640,313,1153091,18619
312,313,18615,18619
90,313,4660,18619
447,314,28964,18770
1524,314,531348,18770
1525,314,531351,18770
1119,315,167656,18773
834,315,88356,18773
757,316,73146,18774
910,317,103537,18777
2114,317,1112686,18777
952,317,116790,18777
1130,317,173863,18777
316,317,18774,18777
478,317,33013,18777
1400,317,345340,18777
1481,317,445938,18777
1508,317,510718,18777
719,317,66794,18777
757,317,73146,18777
797,317,79817,18777
859,317,94713,18777
2043,318,1108175,18781
319,318,18785,18781
828,318,86840,18781
2001,320,1106401,18811
2114,320,1112686,18811
346,320,20920,18811
346,321,20920,18812
1507,321,510715,18812
1954,322,1104449,18815
346,322,20920,18815
2275,323,1122425,18832
324,323,18833,18832
1789,323,682666,18832
801,323,81350,18832
2619,325,1152740,18834
2628,325,1152944,18834
324,325,18833,18834
1616,326,593210,19045
1620,326,593328,19045
1621,326,593329,19045
830,326,87363,19045
2035,327,1107572,19231
2661,327,1153736,19231
244,327,12960,19231
313,327,18619,19231
455,327,30934,19231
1801,327,686061,19231
1996,328,1106287,19621
2138,328,1114153,19621
2149,328,1114442,19621
2319,328,1126044,19621
2358,328,1128846,19621
2474,328,1131464,19621
2540,328,1135082,19621
2545,328,1135137,19621
976,328,123825,19621
1156,328,184918,19621
369,328,23448,19621
1275,328,240791,19621
1389,328,330148,19621
563,328,42847,19621
608,328,49482,19621
117,328,6184,19621
688,328,62347,19621
1676,328,628888,19621
1680,328,631052,19621
1760,328,649730,19621
1762,328,649739,19621
724,328,66990,19621
1795,328,684372,19621
162,328,7276,19621
164,328,7297,19621
1854,328,763009,19621
814,328,83826,19621
1873,328,853116,19621
1888,328,948147,19621
1889,328,948299,19621
1894,328,950052,19621
1009,329,131318,19697
1271,329,239800,19697
476,329,32698,19697
545,329,40124,19697
872,329,95718,19697
529,330,38829,20178
703,330,64271,20178
845,330,91853,20178
330,331,20178,20179
844,331,91852,20179
845,331,91853,20179
861,331,95188,20179
845,332,91853,20180
19,332,943,20180
2052,333,1108597,20193
2156,333,1114777,20193
2178,333,1116397,20193
2185,333,1116839,20193
2224,333,1119180,20193
938,333,112813,20193
2419,333,1130653,20193
2420,333,1130657,20193
2575,333,1138091,20193
2596,333,1152244,20193
2670,333,1153877,20193
2671,333,1153879,20193
2672,333,1153889,20193
1063,333,144330,20193
58,333,3085,20193
456,333,30973,20193
1445,333,395725,20193
96,333,5062,20193
1547,333,566488,20193
1548,333,566653,20193
1549,333,566664,20193
845,333,91853,20193
1933,334,1103315,20526
2206,334,1118092,20526
1933,335,1103315,20528
1938,335,1103676,20528
2019,335,1107067,20528
1933,336,1103315,20534
2015,336,1106966,20534
2032,336,1107455,20534
2090,336,1111052,20534
375,336,23774,20534
744,336,70442,20534
165,336,7419,20534
2013,337,1106849,20584
2098,337,1111788,20584
2218,337,1118823,20584
338,337,20592,20584
339,337,20593,20584
1264,337,235776,20584
1435,337,389715,20584
129,337,6311,20584
339,338,20593,20592
2041,340,1108167,20601
2208,340,1118209,20601
2268,340,1121537,20601
219,340,12158,20601
227,340,12199,20601
231,340,12247,20601
980,340,124734,20601
341,340,20602,20601
388,340,25805,20601
560,340,42207,20601
863,340,95225,20601
2041,341,1108167,20602
2268,341,1121537,20602
218,341,12155,20602
219,341,12158,20602
227,341,12199,20602
231,341,12247,20602
340,341,20601,20602
560,341,42207,20602
863,341,95225,20602
2334,342,1127851,20821
1423,342,372862,20821
2335,345,1127863,20857
2707,345,1155073,20857
2167,347,1115701,20923
2180,347,1116530,20923
348,347,20924,20923
1351,347,289885,20923
1357,347,294030,20923
2046,348,1108267,20924
2134,348,1113934,20924
2167,348,1115701,20924
1351,348,289885,20924
1357,348,294030,20924
1514,348,521207,20924
2173,350,1116181,20972
1934,351,1103383,22229
2031,351,1107418,22229
2117,351,1112911,22229
2348,351,1128369,22229
1066,351,144701,22229
1173,351,190697,22229
352,351,22241,22229
1281,351,243483,22229
1491,351,459216,22229
1612,351,593105,22229
1643,351,595193,22229
1934,352,1103383,22241
2031,352,1107418,22241
2348,352,1128369,22241
1643,352,595193,22241
2016,353,1107010,22386
2349,353,1128407,22386
1214,353,207395,22386
1374,353,310530,22386
530,353,38839,22386
531,353,38845,22386
532,353,38846,22386
81,353,3932,22386
2076,354,1110426,22431
1063,354,144330,22431
613,354,49843,22431
614,354,49844,22431
615,354,49847,22431
138,354,6639,22431
204,355,10435,22563
919,355,107251,22563
920,355,107252,22563
1935,355,1103394,22563
2260,355,1120962,22563
2267,355,1121459,22563
2294,355,1123926,22563
238,355,12439,22563
258,355,13686,22563
34,355,1786,22563
356,355,22564,22563
357,355,22566,22563
68,355,3220,22563
511,355,36140,22563
1435,355,389715,22563
701,355,63915,22563
140,355,6767,22563
141,355,6771,22563
855,355,94229,22563
204,356,10435,22564
1935,356,1103394,22564
357,356,22566,22564
204,357,10435,22566
1935,357,1103394,22566
2083,358,1110563,22835
544,358,39904,22835
362,359,22876,22869
362,360,22876,22874
2087,361,1110947,22875
2134,361,1113934,22875
362,361,22876,22875
362,363,22876,22883
2029,364,1107367,22886
2249,364,1120444,22886
430,364,28447,22886
366,365,23070,23069
765,365,74700,23069
2171,366,1116044,23070
1023,366,134307,23070
1026,366,134316,23070
764,366,74698,23070
833,366,87915,23070
1975,367,1105433,23116
2100,367,1111978,23116
545,367,40124,23116
556,367,41666,23116
1567,367,576257,23116
1991,368,1106052,23258
1122,368,168410,23258
307,368,18251,23258
1156,370,184918,23502
371,370,23507,23502
2061,371,1109392,23507
259,371,13717,23507
1084,371,152731,23507
1234,371,217852,23507
370,371,23502,23507
1761,371,649731,23507
851,371,93320,23507
393,373,27230,23546
896,374,101662,23738
897,374,101811,23738
2217,374,1118764,23738
212,374,11325,23738
217,374,11342,23738
2638,374,1153064,23738
2644,374,1153148,23738
1164,374,189574,23738
355,374,22563,23738
397,374,27249,23738
398,374,27250,23738
1459,374,411092,23738
710,374,65650,23738
757,374,73146,23738
816,374,84020,23738
2002,375,1106406,23774
2032,375,1107455,23774
167,375,7432,23774
2094,376,1111265,24043
278,376,15076,24043
1886,376,928873,24043
1936,377,1103499,24476
2005,377,1106546,24476
2635,377,1153024,24476
2065,378,1109581,24530
1954,379,1104449,24966
1971,379,1105344,24966
1975,379,1105433,24966
1999,379,1106370,24966
2009,379,1106671,24966
2290,379,1123576,24966
2435,379,1131149,24966
2454,379,1131267,24966
2595,379,1152194,24966
2685,379,1154042,24966
981,379,124828,24966
1004,379,131042,24966
1009,379,131318,24966
1067,379,145134,24966
1068,379,145176,24966
329,379,19697,24966
1197,379,197452,24966
1207,379,202639,24966
367,379,23116,24966
1271,379,239800,24966
408,379,27627,24966
545,379,40124,24966
697,379,63549,24966
1698,379,641976,24966
709,379,65212,24966
1781,379,671293,24966
796,379,79809,24966
847,379,92065,24966
873,379,95719,24966
1949,380,1104258,24974
2115,380,1112723,24974
1004,380,131042,24974
493,380,34315,24974
546,380,40125,24974
141,380,6771,24974
2599,381,1152277,25181
2615,381,1152673,25181
2700,381,1154251,25181
382,381,25184,25181
390,381,27174,25181
874,381,96335,25181
1339,382,285675,25184
1433,382,385572,25184
2055,384,1108834,25702
2219,384,1118848,25702
2561,384,1136397,25702
2675,384,1153897,25702
1072,384,147870,25702
1207,384,202639,25702
1785,384,675649,25702
15,384,910,25702
1958,385,1104769,25772
1990,385,1105932,25772
2278,385,1122580,25772
2323,385,1126503,25772
44,385,1997,25772
1697,385,641956,25772
413,386,28202,25791
578,386,45212,25791
1592,387,582343,25794
2041,388,1108167,25805
2072,388,1110028,25805
2262,388,1121063,25805
1432,388,385251,25805
2153,389,1114605,26850
1150,390,180373,27174
382,390,25184,27174
501,390,35343,27174
874,390,96335,27174
1075,391,148399,27199
1285,391,248119,27199
2003,392,1106418,27203
2208,392,1118209,27203
1075,392,148399,27203
372,393,23545,27230
2004,394,1106492,27241
2174,394,1116268,27241
1961,395,1104851,27243
670,395,59045,27243
2075,396,1110390,27246
1419,397,368431,27249
171,397,8079,27249
2089,399,1110998,27510
2375,399,1128990,27510
2591,399,1152143,27510
1159,399,188318,27510
2591,400,1152143,27514
2008,401,1106630,27530
2356,401,1128542,27530
402,401,27531,27530
1600,401,592826,27530
715,401,66594,27530
1999,402,1106370,27531
1854,402,763009,27531
2101,403,1112026,27535
258,403,13686,27535
1131,403,173884,27535
1370,403,308232,27535
496,403,34961,27535
2008,404,1106630,27543
2544,404,1135125,27543
402,404,27531,27543
934,405,111866,27606
980,405,124734,27606
1291,405,249858,27606
2208,406,1118209,27612
226,406,12198,27612
916,407,105899,27623
1947,407,1104182,27623
2317,407,1126029,27623
410,407,27632,27623
417,407,28254,27623
1799,407,686015,27623
1800,407,686030,27623
1801,407,686061,27623
774,407,75674,27623
916,408,105899,27627
943,408,116021,27627
313,408,18619,27627
367,408,23116,27627
410,408,27632,27627
417,408,28254,27627
1799,408,686015,27627
1800,408,686030,27627
1801,408,686061,27627
335,409,20528,27631
417,409,28254,27631
650,409,55968,27631
417,410,28254,27632
913,411,105057,27895
1938,411,1103676,27895
2278,411,1122580,27895
936,411,112378,27895
2509,411,1132706,27895
34,411,1786,27895
374,411,23738,27895
97,412,5064,28026
98,412,5069,28026
2154,413,1114629,28202
2344,413,1128267,28202
1387,413,325497,28202
334,414,20526,28227
115,414,6169,28227
2046,415,1108267,28230
2292,415,1123756,28230
2177,416,1116347,28249
2382,416,1129096,28249
